,ZaggSC,TANGO
GPR150,-0.32,3.21
GPR151,0.08,3.38
GPR152,1.32,2.96
GPR153,0.18,—
GPR155,-0.62,3.4
GPR156,-1.27,3.08
GPR157,1.18,2.96
GPR158,0.97,3.19
GPR15L,1.33,2.99
GPR160,2.16,2.89
GPR161,-1.8,3.46
GPR162,0.02,2.33
GPR17,-0.03,2.86
GPR171,-0.53,2.3
GPR173,0.5,2.55
GPR174,-1.95,3.39
GPR176,-2.79,3.5
GPR179,0.6,2.72
GPR18,0.03,2.91
GPR180,0.69,2.74
GPR182,-0.04,2.93
GPR183,-0.61,2.71
GPR19,-0.96,2.74
GPR20,0.12,3.28
GPR21,0.97,3.05
GPR22,-0.81,3.3
GPR25,-0.48,3.45
GPR26,0.26,3.09
GPR27,0.42,2.56
GPR3,-0.29,2.78
GPR31,0.04,2.77
GPR32,0.28,2.58
GPR32P1,-1,3.1
GPR33,0.42,2.64
GPR34,0.68,3.09
GPR35,—,3.32
GPR37,-0.83,3.23
GPR37L1,-0.24,2.99
GPR39,-1.39,3.11
GPR4,0.29,3.28
GPR42,-0.13,2.05
GPR45,-0.59,3.35
GPR50,-0.28,3.49
GPR52,-0.15,3.17
GPR55,0.36,3.29
GPR6,0.19,3.27
GPR61,0.1,3.2
GPR62,-0.76,3.02
GPR63,-0.04,3.38
GPR65,1.61,3.06
GPR68,-2.71,3.99
GPR75,0.3,3.4
GPR78,0.45,3.31
GPR82,-0.06,3.21
GPR83,-0.11,3.35
GPR84,0.54,3.22
GPR85,0.73,3.19
GPR87,3.68,2.81
GPR88,-0.13,3.44
GPR89A,—,3.58
GPR89B,-1.18,3.27
GPRASP1,-0.3,3.1
GPRASP2,1.24,3.44
GPRC5A,-1.64,3.33
GPRC5B,-0.15,2.78
GPRC5C,-0.21,2.74
GPRC5D,-3.22,3.91
GPRC6A,-0.5,3.46
GPRIN1,1.2,3.2
GPRIN2,-4.57,3.68
GPRIN3,-4.18,3.64
GPS1,-1.05,2.89
GPS2,0.29,3.22
GPSM1,-0.15,3.28
GPSM2,-0.64,2.91
GPSM3,-0.14,2.93
GPT,-0.4,3.2
GPT2,—,3.97
GPX1,0.2,2.71
GPX2,-4.13,3.83
GPX3,-3.56,3.6
GPX4,-1.17,3.34
GPX5,-1.74,3.48
GPX6,-0.42,2.64
GPX7,1.68,2.27
GPX8,3.62,2.17
GRAMD1A,-0.4,3
GRAMD1B,-0.54,2.98
GRAMD1C,0.03,2.7
GRAMD2A,-1.36,3.9
GRAMD2B,-2.94,3.83
GRAMD4,3.91,2.27
GRAP,3.79,2.63
GRAP2,3.74,2.55
GRAPL,3.91,2.71
GRB10,3.65,2.74
GRB14,3.77,2.81
GRB2,—,2.86
GRB7,3.97,2.86
GREB1,2.53,1.98
GREB1L,3.78,2.81
GREM1,4.26,2.99
GREM2,2.42,3.27
GRHL1,0.04,2.89
GRHL2,2.85,3.4
GRHL3,4.11,3.19
GRHPR,-0.96,3.69
GRIA1,2.12,3.23
GRIA2,1.37,3.23
GRIA3,0.75,3.05
GRIA4,-0.49,2.86
GRID1,1.46,3.35
GRID2,1.47,0.26
GRID2IP,2.59,2.7
GRIFIN,1.48,2.42
GRIK1,1.96,2.74
GRIK2,0.14,2.59
GRIK3,-0.75,2.29
GRIK4,0.72,3.12
GRIK5,1.26,3.16
GRIN1,0.25,3.34
GRIN2A,-0.38,3.54
GRIN2B,2.49,2.11
GRIN2C,1.1,3.22
GRIN2D,—,3.3
GRIN3A,—,3.13
GRIN3B,-2.13,3.49
GRINA,1.01,3.51
GRIP1,-1.5,4.02
GRIP2,-1.54,3.93
GRIPAP1,2.89,2.75
GRK2,-1.62,3.23
GRK3,-0.73,3.28
GRK4,-2.39,3.97
GRK5,-3.42,3.95
GRK6,-2.97,3.98
GRK7,-2.17,3.87
GRM1,-1.93,3.99
GRM2,-3.11,3.83
GRM3,-3.42,3.93
GRM4,0.09,3.9
GRM5,-1.93,3.74
GRM6,-1.64,3.9
GRM7,-0.64,3.89
GRM8,-1.75,3.88
GRN,-3.19,4.23
GRP,—,3.9
GRPEL1,—,3.97
GRPEL2,-2.06,3.92
GRPR,-3.29,3.96
GRSF1,1.32,3.94
GRTP1,-3.06,3.94
GRWD1,—,3.95
GRXCR1,—,2.75
GRXCR2,—,2.63
GSAP,-0.35,3.26
GSC,-2.45,3.99
GSC2,1.02,3.42
GSDMA,3.11,—
GSDMB,1.39,2.44
GSDMC,-0.32,3.79
GSDMD,-2.25,3.67
GSDME,-1.95,3.66
GSE1,-1.6,3.76
GSG1,2.69,1.5
GSG1L,-1.37,3.78
GSG1L2,-1.73,3.89
GSK3A,-0.11,3.41
GSK3B,-3.57,4.05
GSKIP,—,4.04
GSN,0.09,3.2
GSN-AS1,-1.36,3.47
GSPT1,-0.51,3.9
GSPT2,-1.36,3.59
GSR,-1.17,3.52
GSS,-0.35,3.23
GSTA1,-2.72,4.14
GSTA2,-0.16,3.12
GSTA3,-0.69,3.23
GSTA4,-1.48,3.03
GSTA5,-1.42,3.16
GSTCD,0.09,3.44
GSTK1,-2.86,3.86
GSTM1,-1.41,3.04
GSTM2,-1.63,2.96
GSTM3,-2.52,4.08
GSTM4,-2.52,4.08
GSTM5,-1.01,3.64
GSTO1,-2.34,3.34
GSTO2,1.29,2.99
GSTP1,-2.88,3.88
GSTT1,-3.19,3.84
GSTT2,-0.46,3.27
GSTT2B,0.04,3.25
GSTT4,-1.99,2.85
GSTZ1,2.27,2.59
GSX1,-1.25,3.02
GSX2,-0.94,3.66
GTDC1,-2.81,3.98
GTF2A1,0.01,2.67
GTF2A1L,0.41,3.26
GTF2A2,-2.9,4.1
GTF2B,-0.18,3.18
GTF2E1,-3.22,4.05
GTF2E2,-0.5,3.05
GTF2F1,1.85,2.86
GTF2F2,1.52,3.06
GTF2H1,0.06,3.19
GTF2H2,0.33,2.84
GTF2H2C,0.6,2.34
GTF2H2C_2,-1.81,3.23
GTF2H3,-0.35,2.26
GTF2H4,-1.49,3.47
GTF2H5,-1.26,3.45
GTF2I,-3.09,3.92
GTF2IRD1,—,3.99
GTF2IRD2,-2.22,3.89
GTF2IRD2B,—,3.96
GTF3A,3.81,—
GTF3C1,4.08,—
GTF3C2,3.78,—
GTF3C3,3.78,—
GTF3C4,3.47,—
GTF3C5,4.4,—
GTF3C6,-0.2,3.13
GTPBP1,-1.97,3.92
GTPBP10,-2.76,3.94
GTPBP2,—,3.74
GTPBP3,-2.96,3.77
GTPBP6,—,3.9
GTPBP8,-2.1,3.88
GTSCR1,-0.76,3.74
GTSE1,-3.58,4.08
GTSF1,—,3.92
GTSF1L,-2.57,3.99
GUCA1A,-3.07,3.95
GUCA1B,-2.88,3.85
GUCA1C,-3.41,3.97
GUCA2A,-1.89,3.96
GUCA2B,-2.43,3.7
GUCD1,0.68,2.89
GUCY1A1,-1.16,3.58
GUCY1A2,-0.38,3.48
GUCY1B1,-3.62,4.01
GUCY1B2,-3.39,3.99
GUCY2C,-1.95,3.34
GUCY2D,1.36,0.84
GUCY2F,0.9,2.78
GUF1,1.54,1.27
GUK1,0.23,2.92
GULP1,2.82,2.46
GUSB,1.15,3.18
GUSBP1,2.95,1.66
GUSBP11,0.1,2.07
GVINP1,2.47,2.49
GVQW1,—,0.45
GVQW3,—,1.45
GXYLT1,-3.74,4.09
GXYLT2,-0.35,3.28
GYG1,-1.55,4
GYG2,-2.12,4
GYPA,0.17,3.12
GYPB,1.37,0.99
GYPC,-0.35,0.65
GYPE,-0.25,3.29
GYS1,-1.8,3.4
GYS2,-1.27,—
GZF1,-1.61,—
GZMA,3.64,2.16
GZMB,3.62,2.17
GZMH,1.02,2.84
GZMK,2.66,2.29
GZMM,3.8,2.3
H2AB1,1.69,2.94
H2AB2,0.94,3.09
H2AB3,0.82,3.05
H2AC1,-1.36,2.94
H2AC11,0.38,2.8
H2AC12,0.06,2.33
H2AC13,0.01,2.8
H2AC14,0.03,2.57
H2AC15,-0.18,3.83
H2AC16,-0.14,2.79
H2AC17,0.55,2.78
H2AC18,1.22,2.94
H2AC19,1.67,2.57
H2AC20,2.71,2.79
H2AC21,-0.27,3.44
H2AC4,-0.63,2.77
H2AC6,0.82,2.92
H2AC7,0.74,2.32
H2AC8,2.86,0.92
H2AJ,1.13,3.12
H2AP,1.12,2.85
H2AW,-0.08,3.78
H2AX,-0.9,3.96
H2AZ1,-0.62,3.97
H2AZ2,0.43,3.11
H2BC1,-1.24,3.96
H2BC10,-1.08,3.96
H2BC11,1.48,2.13
H2BC12,1.18,2.5
H2BC13,2.31,2.64
H2BC14,0.71,3.09
H2BC15,0.68,3
H2BC17,0.4,3.27
H2BC18,2.7,—
H2BC19P,-0.1,3.37
H2BC20P,0.43,3.26
H2BC21,-0.19,3.22
H2BC3,-0.6,3.89
H2BC4,-0.74,1.09
H2BC5,-1.32,3.97
H2BC6,-1.31,4.08
H2BC7,-1.22,3.97
H2BC8,-1.4,3.95
H2BC9,-1.21,3.93
H2BS1,1.68,3.47
H2BU1,-1.16,4.02
H2BW1,-1.29,4.02
H2BW2,-0.49,3.24
H3C1,-1.08,4.02
H3C10,-0.62,4.02
H3C11,-0.78,3.99
H3C12,-1.1,3.99
H3C13,0.45,2.67
H3C14,1.15,2.99
H3C15,1.08,2.57
H3C2,-1.03,4.02
H3C3,0.34,3.09
H3C4,-0.3,3.01
H3C6,0.25,3.48
H3C7,-0.18,3.19
H3C8,-0.45,3.23
H4C1,-1.36,3.57
H4C11,0.32,2.96
H4C12,-1.38,3.73
H4C13,3.97,1.6
H4C14,-1.27,3.59
H4C15,-0.02,3.05
H4C2,0.91,0.78
H4C3,1.25,0.95
H4C4,-0.49,3.05
H4C5,0.35,3.15
H4C6,-1.18,3.18
H4C7,1.11,2.96
H4C8,-0.45,3.1
H4C9,-1.22,3.46
H6PD,0.73,2.58
HAAO,0.79,3.45
HABP2,-0.24,3.2
HABP4,-0.02,2.84
HACD1,0.09,2.74
HACD2,0.01,2.92
HACD3,0.97,3.52
HACD4,-2.18,3.08
HACE1,-1.23,2.25
HACL1,-1.33,2.26
HADH,-3.18,4.01
HADHA,-0.42,3.86
HADHB,-0.04,3.73
HAGH,-0.16,3.42
HAGHL,-0.92,2.22
HAL,-2.97,3.09
HAMP,3.34,2.47
HAND1,-1.44,2.92
HAND2,-0.35,3.4
HAO1,-1.23,2.7
HAO2,-1.35,2.95
HAP1,-1.42,1.76
HAPLN1,-0.58,3.61
HAPLN2,2.21,—
HAPLN3,-0.24,3.01
HAPLN4,-0.24,3.3
HARBI1,-1.31,2.29
HARS2,1.71,3.5
HAS1,-1,2.82
HAS2,-0.04,2.95
HAS3,-0.22,3.39
HASPIN,-1.97,1.59
HAT1,-0.35,1.65
HAUS1,-2.14,2.45
HAUS2,-2.56,2.67
HAUS3,-2.34,3.17
HAUS4,-2.16,3.08
HAUS5,—,2.96
HAUS6,0.16,1.59
HAUS7,0.96,1.84
HAUS8,-0.3,3.61
HAVCR1,-0.6,3.56
HAVCR2,-1.41,3.64
HAX1,0.27,3.11
HBA1,0.61,3.15
HBA2,0.61,3.23
HBB,0.25,3.26
HBD,-0.85,3.2
HBE1,-0.9,2.94
HBEGF,0.41,3.29
HBG1,-0.65,3.17
HBG2,-3.23,3.95
HBM,-3.24,3.96
HBP1,-2.86,4.06
HBQ1,0.06,3.54
HBS1L,-3.21,4.05
HBZ,-0.82,3.06
HCAR1,-3.2,4.08
HCAR2,-3.19,4.11
HCAR3,-3.13,4.08
HCCS,3.47,1.99
HCFC1,-2.65,4.04
HCFC1R1,0.25,3.3
HCFC2,-3.31,4.11
HCG22,-0.76,3.38
HCK,-2.82,4.03
HCLS1,1.36,3.14
HCN1,1.24,1.42
HCN2,1.65,1.1
HCN3,2.9,1
HCN4,-0.31,3.34
HCP5,-0.89,2.54
HCRT,-3.58,3.93
HCRTR1,-2.85,3.91
HCRTR2,-2.1,3.88
HCST,0.4,3.06
HDAC1,-1.41,3.11
HDAC10,-0.01,3.04
HDAC11,-0.22,2.9
HDAC2,-0.9,2.94
HDAC3,-0.83,3.87
HDAC4,-1.24,3.84
HDAC5,-1.32,3.84
HDAC6,-0.92,3.02
HDAC7,-0.22,3.45
HDAC8,1.07,2.71
HDAC9,-0.93,2.58
HDC,—,3.11
HDDC2,-0.25,—
HDDC3,0.27,2.12
HDGF,2.16,2.87
HDGFL1,0.98,3.21
HDGFL2,-1.27,3.39
HDGFL3,-1.56,3.48
HDHD2,-0.4,3.6
HDHD3,2.01,2.97
HDHD5,—,2.23
HDLBP,-0.61,3.44
HDX,2.81,0.69
HEATR1,2.88,0.03
HEATR3,2.87,—
HEATR4,-0.95,3.47
HEATR5A,-0.97,1.16
HEATR5B,0.77,0.62
HEATR6,1.19,0.31
HEATR9,0.5,3.04
HEBP1,4.12,1.65
HEBP2,2.78,0.73
HECA,-1.88,2.92
HECTD1,1.27,2.68
HECTD2,0.66,2.68
HECTD3,0.61,2.68
HECTD4,0.61,2.68
HECW1,0.58,2.68
HECW2,0.5,2.68
HEG1,0.55,2.68
HELB,0.6,2.35
HELLS,0.56,2.68
HELQ,0.51,2.35
HELT,0.68,2.68
HELZ,0.74,3.01
HELZ2,1.28,2.83
HEMGN,2.94,2.42
HEMK1,3.49,2.47
HENMT1,3.36,2.47
HEPACAM,—,1.11
HEPACAM2,3.57,1.14
HEPH,3.59,2.47
HEPHL1,-0.14,3.36
HEPN1,2.8,2.45
HERC1,1.57,2.44
HERC2,3.3,2.45
HERC2P3,-1.53,3.12
HERC3,2.8,2.47
HERC4,2.9,2.45
HERC5,1.8,1.65
HERC6,3.39,2.47
HERPUD1,2.74,2.5
HERPUD2,1.77,1.69
HERVK_113,-1.1,2.5
HERV-K104,0.84,3.12
HES1,1.89,1.81
HES2,1.79,1.82
HES3,1.98,1.79
HES4,2.12,1.53
HES5,—,1.43
HES6,—,1.43
HES7,1.17,3.37
HESX1,—,2.65
HEXA,0.03,3.44
HEXA-AS1,—,0.03
HEXB,0.74,3.42
HEXD,0.77,3.36
HEXIM1,1.99,3.03
HEXIM2,1.33,3.3
HEY1,1.46,3.35
HEY2,0.18,3.24
HEYL,3.1,1.38
HFE,-2.47,3.76
HFM1,-2.69,3.76
HGD,-0.59,3.42
HGF,0.14,3.07
HGFAC,-1.4,3.57
HGH1,1.55,1.96
HGS,1.89,2.54
HGSNAT,—,2.56
HHAT,-1.05,3.03
HHATL,-0.76,3.09
HHEX,1.22,2.76
HHIP,4.39,—
HHIPL1,-2.71,3.94
HHIPL2,-2.5,3.96
HHLA1,-0.91,3.2
HHLA2,1.06,3.07
HHLA3,-0.09,3.54
HIBADH,0.65,3.47
HIBCH,1.61,2.87
HIC1,-0.42,2.68
HIC2,0.57,3.04
HID1,0.58,2.72
HIDE1,0.44,3.09
HIF1A,0.78,3.35
HIF1AN,0.11,3.01
HIF3A,1.99,2.78
HIGD1A,-0.27,3.4
HIGD1B,-1.17,3.34
HIGD1C,0.44,2.1
HIGD2A,0.17,3.23
HIGD2B,-0.73,2.62
HIKESHI,-0.81,3.19
HILPDA,-1.82,3.4
HINFP,-0.57,2.85
HINT1,-0.65,2.76
HINT2,0.08,3.46
HINT3,-1.27,3.08
HIP1,-0.76,2.91
HIP1R,-0.81,2.93
HIPK1,-2.15,3.25
HIPK2,1.23,3.05
HIPK3,0.79,3.42
HIPK4,-3.33,3.82
HIRA,-1.11,2.9
HIRIP3,0.57,2.52
HIVEP1,-0.05,3.2
HIVEP2,1.59,3.03
HIVEP3,-1.27,2.71
HJURP,2.77,2.78
HJV,3.79,2.81
HK1,2.09,3.27
HK2,1.32,3.02
HK3,3.19,2.96
HKDC1,-0.19,3.76
HLA-DMA,-1.85,3.62
HLA-DMB,1.1,2.54
HLA-DOA,0.69,3.5
HLA-DOB,-0.06,3.81
HLA-DPA1,1.24,3.19
HLA-DPB1,3.16,2.8
HLA-DQA1,0.15,2.59
HLA-DQA2,-0.57,1.86
HLA-DQB1,-0.14,2.3
HLA-DQB2,-0.73,1.96
HLA-DRA,0.06,2.31
HLA-DRB3,0.42,3.09
HLA-DRB4,-1.65,3.38
HLA-DRB5,-1.09,3.03
HLA-E,-1.07,3.76
HLA-F,-1.12,3.82
HLA-G,-0.39,3.79
HLA-H,-1.48,2.78
HLCS,-0.28,3.23
HLF,-2.21,3.25
HLTF,-1.08,3.25
HLX,1.2,2.81
HM13,1.21,2.82
HMBOX1,0.79,3.26
HMBS,0.12,2.68
HMCES,-0.08,3.52
HMCN1,-0.24,3.1
HMCN2,-1.22,3.06
HMG20A,-1.39,2.93
HMG20B,0.73,3.28
HMGA1,2.29,2.83
HMGA2,3.9,2.91
HMGB1,3.16,2.44
HMGB1P1,-2.44,3.8
HMGB2,-1.32,2.98
HMGB3,-1.08,2.58
HMGB4,-1.83,2.34
HMGCL,1.42,2.8
HMGCLL1,-1.44,3.04
HMGCR,0.82,2.78
HMGCS1,0.83,3.03
HMGCS2,2.05,3.02
HMGN1,-0.55,4.32
HMGN2,0.23,2.9
HMGN2P46,-2.88,3.65
HMGN3,-1.39,4.2
HMGN4,-0.27,3.21
HMGN5,0.33,3.15
HMGXB3,-0.22,3.89
HMGXB4,-0.04,2.91
HMHB1,0.9,2.84
HMMR,-1.11,3.52
HMOX1,0.09,3.47
HMOX2,-0.49,3.16
HMSD,-1.13,2.88
HMX1,-0.37,2.28
HMX2,0.37,2.95
HMX3,2.33,2.45
HNF1A,-0.39,2.79
HNF1B,—,2.92
HNF4A,-0.47,3.33
HNF4G,—,2.71
HNMT,-0.49,3.11
HNRNPA0,-0.39,1.95
HNRNPA1,0.53,2.16
HNRNPA1L2,4.19,2.89
HNRNPA2B1,-0.91,2.31
HNRNPA3,0.38,2.6
HNRNPAB,-0.19,1.21
HNRNPC,-0.46,3.48
HNRNPCL1,-0.72,3.27
HNRNPCL2,-0.37,3.12
HNRNPCL3,-0.4,3.98
HNRNPCL4,-2.09,3.1
HNRNPD,-0.08,3.52
HNRNPDL,-0.96,3.29
HNRNPF,0.19,1.39
HNRNPH1,-0.12,4.16
HNRNPH2,0.05,4.12
HNRNPH3,-1.39,3.69
HNRNPK,-0.56,—
HNRNPL,-0.67,0.77
HNRNPLL,-0.48,3.46
HNRNPM,-0.74,0.82
HNRNPR,0.67,1.53
HNRNPU,-0.62,2.02
HNRNPUL1,-1.44,3.8
HNRNPUL2,-0.48,3.61
HOGA1,0.93,1.98
HOMER1,-1.64,3.55
HOMER2,-1.91,2.79
HOMER3,3.12,—
HOMEZ,3.67,—
HOOK1,-0.32,2.08
HOOK2,0.31,2.31
HOOK3,0.06,1.78
HOPX,0.15,3.74
HORMAD1,0.42,3.06
HORMAD2,4.04,2.92
HOXA1,0.27,3.08
HOXA10,-0.7,3.19
HOXA11,-0.89,3.01
HOXA13,-1.6,3.14
HOXA2,-2.11,3
HOXA3,-1.07,3.8
HOXA4,-1.1,3.76
HOXA5,-0.25,3.28
HOXA6,-0.47,3.59
HOXA7,-2.2,3.38
HOXA9,-1.74,3.52
HOXB1,-0.68,3.09
HOXB13,-1.52,3.5
HOXB2,-0.02,3.17
HOXB3,-0.68,3.59
HOXB4,2.71,3.18
HOXB5,—,0.81
HOXB6,—,3.69
HOXB7,2.31,3.25
HOXB8,-1.24,3.98
HOXB9,-2.96,3.87
HOXC10,-1.96,3.92
HOXC11,—,4
HOXC12,-0.74,2.97
HOXC13,1.02,3.02
HOXC4,-0.27,3.48
HOXC5,-0.2,3.3
HOXC6,0.03,3.52
HOXC8,-0.3,3.17
HOXC9,-0.18,3.14
HOXD1,-0.54,3.36
HOXD10,-0.59,3.19
HOXD11,-0.53,3.26
HOXD12,-1.18,3.19
HOXD13,-0.65,3.38
HOXD3,0.77,2.77
HOXD4,0.77,2.77
HOXD8,0.41,2.8
HOXD9,1.03,3.22
HP1BP3,0.08,3.26
HPCA,-2.06,2.87
HPCAL1,-3.29,4.14
HPCAL4,1.31,2.94
HPD,1.16,2.6
HPDL,-3.6,4.04
HPF1,—,4.12
HPGD,0.44,3.13
HPGDS,1.82,1.39
HPN,1.42,2.5
HPR,-0.99,3.1
HPRT1,-1.28,3.83
HPS1,-0.41,3.33
HPS3,0.85,3.32
HPS4,—,2.8
HPS5,-0.03,3.23
HPS6,-0.77,3.09
HPSE,-0.07,3.3
HPSE2,-0.06,2.9
HPX,3.58,2.47
HRAS,-1.01,2.79
HRC,-1.09,3.56
HRCT1,-4.01,2.97
HRES1,1.74,2.42
HRG,0.05,1.23
HRH1,-1.42,2.74
HRH2,-0.07,2.57
HRH3,2.1,2.94
HRH4,1.47,3.1
HRK,0.28,2.93
HRNR,-0.9,3.2
HS1BP3,0.16,3.22
HS2ST1,-0.68,3.34
HS3ST1,-0.07,3.43
HS3ST2,0.08,3.4
HS3ST3A1,—,1.67
HS3ST3B1,1.73,2.2
HS3ST4,3.87,0.66
HS3ST5,1.52,3.16
HS3ST6,2.56,3.07
HS6ST1,2.76,2.55
HS6ST2,-1.44,3.65
HS6ST3,-0.61,3.53
HSBP1,-3.43,3.92
HSBP1L1,3.13,2.28
HSCB,1.66,2.6
HSD11B1,2.42,1.29
HSD11B1L,0.64,3.18
HSD11B2,0.24,2.71
HSD17B1,-3.46,3.94
HSD17B10,-3.04,4.04
HSD17B11,-0.62,3.1
HSD17B12,0.75,2.94
HSD17B13,-0.77,3.86
HSD17B14,-2.12,3.9
HSD17B2,-0.65,3.03
HSD17B3,1.31,3.51
HSD17B4,1.8,0.92
HSD17B6,-1.15,1.66
HSD17B7,—,2.23
HSD17B8,0.35,3.04
HSD3B1,0.61,3.47
HSD3B2,0.72,3.49
HSD3B7,1.08,3.44
HSD52,-0.41,3.58
HSDL1,2.23,2.13
HSDL2,0.71,3
HSF1,-0.24,4.23
HSF2,-0.29,3.26
HSF2BP,0.17,4
HSF4,0.01,2.79
HSF5,-1.21,3.94
HSFX1,1.22,2.41
HSFX2,1.75,2.32
HSFX3,4.12,—
HSFX4,3.8,—
HSFY1,4.02,2.92
HSFY2,4.04,2.92
HSH2D,3.63,2.86
HSP90AA1,0.64,3.6
HSP90AA2P,1,3.38
HSP90AA4P,1.17,—
HSP90AA5P,-1.5,3.2
HSP90AB1,0.75,2.15
HSP90AB2P,-0.02,2.03
HSP90AB3P,0.04,3.1
HSP90AB4P,-0.2,3.31
HSP90B1,2.66,3.52
HSP90B2P,1.85,3.38
HSPA12A,0.08,3.03
HSPA12B,0.22,2.98
HSPA13,3.29,2.49
HSPA14,—,—
HSPA1A,-0.22,3.45
HSPA1B,0.54,3.31
HSPA1L,-0.15,3.37
HSPA2,-0.89,2.75
HSPA4,4.14,—
HSPA4L,0,3.45
HSPA5,0.2,3.48
HSPA6,—,—
HSPA7,—,—
HSPA8,—,—
HSPA9,-2.25,4
HSPB1,0.74,3.55
HSPB11,-0.23,3.69
HSPB2,3.62,2.49
HSPB3,1.18,3.12
HSPB6,3.67,—
HSPB7,3.58,2.68
HSPB8,-2.71,2.71
HSPB9,-2.09,2.81
HSPBAP1,0.09,3.54
HSPBP1,-0.06,2.72
HSPD1,-2.44,3.84
HSPE1,-1.99,3.93
HSPG2,-2.61,3.9
HSPH1,0.95,2.86
HTATIP2,-2.07,1.06
HTATSF1,-1.87,1.07
HTD2,-1.47,2.64
HTN1,0.79,3.57
HTN3,0.14,3.04
HTR1A,1.27,3.5
HTR1B,0.92,3.52
HTR1D,0.66,3.53
HTR1E,1.02,3.48
HTR1F,0.77,3.48
HTR2A,1.08,3.48
HTR2B,1.09,3.52
HTR2C,1.32,3.51
HTR3A,—,3.48
HTR3B,0.91,3.52
HTR3C,0.84,3.51
HTR3D,1.06,3.49
HTR3E,0.74,3.52
HTR4,1.16,3.48
HTR5A,0.75,3.51
HTR6,0.91,3.51
HTR7,0.64,3.53
HTRA1,0.9,1.7
HTRA2,-2.76,1.31
HTRA3,1.26,-0.06
HTRA4,-2.15,2.72
HTT,2.63,0.03
HUNK,0.47,3.35
HUS1,-2.86,1.28
HUS1B,-0.51,3.41
HUWE1,0.79,0.02
HVCN1,-0.71,3.98
HYAL1,1.38,3.46
HYAL2,0.56,1.61
HYAL3,0.66,0.75
HYAL4,0.47,0.92
HYDIN,-0.22,2.87
HYI,—,3.14
HYKK,—,3.14
HYLS1,0.02,2.9
HYOU1,1.09,1.72
HYPK,—,—
IAH1,—,2.84
IAPP,-0.13,3
IARS1,1.28,3.33
IARS2,-1.72,3.84
IBA57,-0.76,3.28
IBA57-,-0.39,2.92
IBSP,1.24,2.77
IBTK,-2,3.11
ICA1,—,3
ICA1L,-0.44,3
ICAM1,-1.42,3.03
ICAM2,-1.9,3.14
ICAM3,-1.78,3.22
ICAM4,—,3.14
ICAM5,-2.24,3.02
ICE1,-2.13,3.04
ICE2,-1.58,3.1
ICMT,-2.03,3.15
ICOS,-0.68,3.02
ICOSLG,-0.76,3.01
ID1,-1.71,2.95
ID2,—,3.23
ID2B,-3.22,3.12
ID3,—,3.03
ID4,-2.57,3.03
IDE,-2.55,3.18
IDH1,-1.6,2.77
IDH2,—,3.18
IDH3A,-2.19,3.17
IDH3B,-0.92,3.14
IDH3G,—,3.16
IDI1,—,2.81
IDI2,—,2.92
IDI2-AS1,-2.07,3.02
IDNK,1.74,3.18
IDO1,3.2,1.77
IDO2,3.5,3.19
IDS,—,3
IDUA,—,3.14
IER2,-2.04,3.66
IER3,0.17,2.6
IER3IP1,1.35,2.64
IER5,—,3.01
IER5L,—,3.23
IFFO1,1.5,1
IFFO2,1.07,0.55
IFI16,2.42,1.24
IFI27,1.07,2.61
IFI27L1,-0.93,2.32
IFI27L2,0.43,3
IFI30,0.28,0.23
IFI35,-2.15,2.97
IFI44,0.15,3.55
IFI44L,1.28,0.85
IFI6,-0.14,3.49
IFIH1,-1.6,3.55
IFIT1,0.52,2.62
IFIT1B,-1.53,3.34
IFIT2,-1.81,3.2
IFIT3,-0.74,3.56
IFIT5,-1.67,3.07
IFITM1,-1.66,3.93
IFITM10,-1.83,3.63
IFITM2,—,4.06
IFITM3,-2.89,4.02
IFITM5,0.5,3.49
IFNA1,1.2,1.98
IFNA10,-0.26,4.06
IFNA13,0.75,3.31
IFNA14,-1.65,3.57
IFNA16,-1.59,3.3
IFNA17,-1.37,1.56
IFNA2,—,2.96
IFNA21,-0.81,3.28
IFNA4,3.8,1.62
IFNA5,4.08,2
IFNA6,—,3.42
IFNA7,-1.22,3.34
IFNA8,-0.31,3.39
IFNAR1,0.06,2.99
IFNAR2,1.32,3.37
IFNB1,-0.27,3.66
IFNE,-0.71,3.7
IFNG,-0.25,3.49
IFNGR1,—,2.7
IFNGR2,1.83,2.59
IFNK,-1.89,3.65
IFNL1,0.5,3.07
IFNL2,-0.14,2.64
IFNL3,-0.72,3.75
IFNL4,-0.6,3.65
IFNLR1,—,3.29
IFNW1,-2.41,3.55
IFRD1,-0.52,3.71
IFRD2,-1.69,3.6
IFT122,2.27,2.83
IFT140,0.38,2.7
IFT172,0.95,1.21
IFT20,-0.8,3.61
IFT22,2.66,1.36
IFT27,-2.1,3.52
IFT43,-0.3,3.32
IFT46,0.09,3.37
IFT52,-1.42,3.36
IFT57,-2.71,3.31
IFT74,—,2.56
IFT80,-1.25,3.36
IFT81,0.39,2.74
IFT88,1.01,2.87
IGBP1,-0.06,3.24
IGDCC3,-0.19,3.57
IGDCC4,-1.38,2.88
IGF1,-0.01,3.02
IGF1R,-0.24,2.97
IGF2,-0.74,1.96
IGF2-,-1.11,2.25
IGF2BP1,1.23,0.62
IGF2BP2,1.59,1.82
IGF2BP2-AS1,-0.64,1.29
IGF2BP3,1.59,2.61
IGF2R,1.07,2.84
IGFALS,0.28,3.06
IGFBP1,-0.41,2.8
IGFBP2,-0.25,3.07
IGFBP3,-0.12,2.92
IGFBP4,-0.72,2.93
